benchmark
406 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
407 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
408 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
409 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
410 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
411 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
412 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
413 {'product': [29, 29, 29], 'productlist': [1, 1, 1]}
414 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
415 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
416 {'product': [51, 51, 51], 'productlist': [1, 1, 1]}
417 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
418 {'product': [22, 22, 22], 'productlist': [1, 1, 1]}
419 {'product': [0, 5, 32], 'productlist': [0, 1, 1]}
420 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
421 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
422 {'product': [31, 31, 31], 'productlist': [1, 1, 1]}
423 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
424 {'product': [34, 34, 34], 'productlist': [1, 1, 1]}

total
{'product': [10557, 12436, 11620], 'productlist': [370, 425, 425]}

key	recall	precision
{'product': [0.84890640077195234, 0.90851979345955247, 0.87770202859993351], 'productlist': [0.87058823529411766, 0.87058823529411766, 0.87058823529411755]}
